Rainfall Intensity[mu-m/sec]:Mean_Step_Accumulated
Time;5425_data
2012-06-29 07:06:00;0.123
2012-06-29 07:07:00;0.123
2012-06-29 07:08:00;0.123
2012-06-29 07:09:00;0.123
2012-06-29 07:10:00;0.123
2012-06-29 07:11:00;0.123
2012-06-29 07:12:00;0.123
2012-06-29 07:13:00;0.123
2012-06-29 07:14:00;0.123
2012-06-29 07:15:00;0.123
2012-06-29 07:16:00;0.123
2012-06-29 07:17:00;0.123
2012-06-29 07:18:00;0.123
2012-06-29 07:19:00;0.123
2012-06-29 07:20:00;0.123
2012-06-29 07:21:00;0.123
2012-06-29 07:22:00;0.123
2012-06-29 07:23:00;0.123
2012-06-29 07:24:00;0.123
2012-06-29 07:25:00;0.123
2012-06-29 07:26:00;0.123
2012-06-29 07:27:00;0.123
2012-06-29 07:28:00;0.123
2012-06-29 07:29:00;0.123
2012-06-29 07:30:00;0.123
2012-06-29 07:31:00;0.37
2012-06-29 07:32:00;0.37
2012-06-29 07:33:00;0.37
2012-06-29 07:34:00;0.37
2012-06-29 07:35:00;0.37
2012-06-29 07:36:00;0.37
2012-06-29 07:37:00;0.37
2012-06-29 07:38:00;0.37
2012-06-29 07:39:00;0.37
2012-06-29 07:40:00;3.333
2012-06-29 07:41:00;1.667
2012-06-29 07:42:00;1.667
2012-06-29 07:43:00;1.667
2012-06-29 07:44:00;1.667
2012-06-29 07:45:00;1.111
2012-06-29 07:46:00;1.111
2012-06-29 07:47:00;1.111
2012-06-29 07:48:00;0.278
2012-06-29 07:49:00;0.278
2012-06-29 07:50:00;0.278
2012-06-29 07:51:00;0.278
2012-06-29 07:52:00;0.278
2012-06-29 07:53:00;0.278
2012-06-29 07:54:00;0.278
2012-06-29 07:55:00;0.278
2012-06-29 07:56:00;0.278
2012-06-29 07:57:00;0.278
2012-06-29 07:58:00;0.278
2012-06-29 07:59:00;3.611
2012-06-29 08:00:00;6.667
2012-06-29 08:01:00;1.111
2012-06-29 08:02:00;1.111
2012-06-29 08:03:00;1.111
